"x","y","fips"
676963.29021299,-1013899.17978261,"05141"
1455684.85484276,-1514876.04617947,"12077"
-1239867.89983438,267313.33682798,"16061"
1187204.25984009,-512977.90432325,"18081"
1210243.71736929,-292896.59821409,"18113"
156222.03265108,-738314.93258765,"20159"
1248456.99304292,-674761.04972391,"21029"
1053530.83429088,-1080040.83998708,"28117"
964238.6654616,-1121388.44410334,"28071"
1346941.99359687,-712618.94887974,"21137"
1993423.68838355,-858384.94419862,"37061"
68566.78666192,-957036.20509926,"40153"
79003.26984729,-50190.36193805,"46059"
181782.57089668,-182714.71108779,"46067"
190532.2226477,-1890182.22066856,"48249"
1923259.47708914,-619179.22614891,"51135"
634831.97500658,79199.50080434,"55005"
2050403.89058348,-584982.74020208,"51700"
263635.74907872,-1489599.96204113,"48309"
1054338.14118187,-372594.38719093,"18111"
53527.53988739,-792110.1389131,"20047"
985909.40461066,-1337837.72487538,"28123"
512751.48473473,-541507.34431559,"29061"
614456.98173723,-778190.8079424,"29059"
123043.00509431,-380497.37911244,"31077"
265836.4919165,-337626.27009724,"31039"
1275558.70761735,-505308.57881468,"18047"
1699296.50714797,-1457374.5861547,"12003"
-157602.11856718,-824649.54788217,"20187"
1001994.12985739,-1510988.84894924,"28109"
-1540362.06200695,-627289.46072138,"32009"
1523214.57306852,-221391.7329829,"39035"
-1850841.43291912,-602197.02982157,"06099"
1750284.00988928,-1566756.31666603,"12083"
1555713.96537322,-1077712.86674532,"13221"
1213934.60046214,-356316.42694127,"18069"
630596.31852029,-251626.54724568,"19013"
154082.02173024,-621477.87689436,"20123"
1318508.78008197,-604481.20897364,"21187"
732716.30698774,-1551423.1734326,"22039"
1365252.47853206,-456503.19496482,"39057"
2082519.68985635,27294.56895027,"36039"
1414111.84367981,-345986.12730059,"39101"
61037.03881478,46931.78227102,"46045"
1126721.44376324,-968386.22021676,"47101"
371.68548905,46767.38999761,"46129"
-1003687.63200095,-411622.98014322,"49035"
1571071.01441389,-508341.48243577,"54035"
295066.38383339,-1872848.39093545,"48007"
434363.07578538,-1344038.14288874,"48499"
657997.49813981,-336580.34026042,"19095"
